x;Sin(x)
-10.000000000000;0.544021110889
-9.950000000000;0.501405128179
-9.900000000000;0.457535893776
-9.850000000000;0.412523057917
-9.800000000000;0.366479129252
-9.750000000000;0.319519193623
-9.700000000000;0.271760626411
-9.650000000000;0.223322799164
-9.600000000000;0.174326781223
-9.550000000000;0.124895037117
-9.500000000000;0.075151120462
-9.450000000000;0.025219365144
-9.400000000000;-0.024775425453
-9.350000000000;-0.074708290389
-9.300000000000;-0.124454423507
-9.250000000000;-0.173889485380
-9.200000000000;-0.222889914100
-9.150000000000;-0.271333234114
-9.100000000000;-0.319098362350
-9.050000000000;-0.366065910863
-9.000000000000;-0.412118485242
-8.950000000000;-0.457140978035
-8.900000000000;-0.501020856458
-8.850000000000;-0.543648443666
-8.800000000000;-0.584917192892
-8.750000000000;-0.624723953754
-8.700000000000;-0.662969230082
-8.650000000000;-0.699557428603
-8.600000000000;-0.734397097873
-8.550000000000;-0.767401156867
-8.500000000000;-0.798487112623
-8.450000000000;-0.827577266442
-8.400000000000;-0.854598908088
-8.350000000000;-0.879484497531
-8.300000000000;-0.902171833756
-8.250000000000;-0.922604210239
-8.200000000000;-0.940730556680
-8.150000000000;-0.956505566652
-8.100000000000;-0.969889810846
-8.050000000000;-0.980849835621
-8.000000000000;-0.989358246624
-7.950000000000;-0.995393777258
-7.900000000000;-0.998941341840
-7.850000000000;-0.999992073306
-7.800000000000;-0.998543345375
-7.750000000000;-0.994598779111
-7.700000000000;-0.988168233877
-7.650000000000;-0.979267782686
-7.600000000000;-0.967919672031
-7.550000000000;-0.954152266279
-7.500000000000;-0.937999976775
-7.450000000000;-0.919503175829
-7.400000000000;-0.898708095812
-7.350000000000;-0.875666713593
-7.300000000000;-0.850436620630
-7.250000000000;-0.823080879012
-7.200000000000;-0.793667863849
-7.150000000000;-0.762271092361
-7.100000000000;-0.728969040126
-7.050000000000;-0.693844944930
-7.000000000000;-0.656986598719
-6.950000000000;-0.618486128162
-6.900000000000;-0.578439764388
-6.850000000000;-0.536947602448
-6.800000000000;-0.494113351139
-6.750000000000;-0.450044073781
-6.700000000000;-0.404849920617
-6.650000000000;-0.358643853493
-6.600000000000;-0.311541363513
-6.550000000000;-0.263660182373
-6.500000000000;-0.215119988088
-6.450000000000;-0.166042105865
-6.400000000000;-0.116549204850
-6.350000000000;-0.066764991522
-6.300000000000;-0.016813900484
-6.250000000000;0.033179216548
-6.200000000000;0.083089402818
-6.150000000000;0.132791908853
-6.100000000000;0.182162504271
-6.050000000000;0.231077788299
-6.000000000000;0.279415498199
